time,Gyroscope[x] Deg/sec,Gyroscope[y] Deg/sec,Gyroscope[z] Deg/sec,,,,time,Gravity[x] m/sec^2,Gravity[y] m/sec^2,Gravity[z] m/sec^2,,,,time,Acceleration[x] cm/sec^2,Acceleration[y] cm/sec^2,Acceleration[z] cm/sec^2,,,,time,Orientation[x] Deg,Orientation[y] Deg,Orientation[z] Deg,,,,
15:13:39.962+0300,0.21000001,8.365,-0.14,,,,15:13:39.963+0300,0.011996435,9.778378,0.74402505,,,,15:13:39.964+0300,2.0,-1.0,1.0,,,,15:13:39.965+0300,274.3517,0.07029231,109.4007,,,,
15:13:39.981+0300,0.21000001,8.365,-0.14,,,,15:13:39.982+0300,0.011996435,9.778378,0.74402505,,,,15:13:39.983+0300,2.0,-1.0,1.0,,,,15:13:39.984+0300,274.3517,0.07029231,109.4007,,,,
15:13:40.001+0300,-0.07,2.52,-0.14,,,,15:13:40.002+0300,0.011717034,9.778209,0.7462609,,,,15:13:40.003+0300,0.0,-1.0,-5.0,,,,15:13:40.003+0300,274.36475,0.06865637,109.27518,,,,
15:13:40.022+0300,-0.07,2.52,-0.14,,,,15:13:40.024+0300,0.011717034,9.778209,0.7462609,,,,15:13:40.027+0300,1.0,-1.0,-4.0,,,,15:13:40.028+0300,274.36475,0.06865637,109.27518,,,,
15:13:40.041+0300,-0.525,-3.885,-0.175,,,,15:13:40.042+0300,0.011945582,9.778256,0.7456272,,,,15:13:40.043+0300,0.0,-1.0,3.0,,,,15:13:40.044+0300,274.36108,0.0699952,109.29269,,,,
15:13:40.062+0300,-0.42000002,2.94,-0.14,,,,15:13:40.063+0300,0.013258418,9.778159,0.74686116,,,,15:13:40.064+0300,1.0,-1.0,1.0,,,,15:13:40.065+0300,274.36853,0.07768854,109.33276,,,,
15:13:40.081+0300,-0.21000001,2.695,-0.14,,,,15:13:40.082+0300,0.01309183,9.778086,0.7478379,,,,15:13:40.083+0300,1.0,-2.0,-2.0,,,,15:13:40.087+0300,274.37418,0.07671298,109.30475,,,,
15:13:40.101+0300,-0.63,-1.085,0.0,,,,15:13:40.103+0300,0.012844869,9.778037,0.74847734,,,,15:13:40.104+0300,0.0,-1.0,-2.0,,,,15:13:40.105+0300,274.38022,0.07811618,109.27601,,,,
15:13:40.122+0300,-0.84000003,-2.485,-0.07,,,,15:13:40.123+0300,0.014090485,9.777946,0.74963355,,,,15:13:40.124+0300,0.0,0.0,0.0,,,,15:13:40.125+0300,274.38486,0.08256588,109.32907,,,,
15:13:40.142+0300,0.24499999,0.595,-0.21000001,,,,15:13:40.143+0300,0.014742811,9.777801,0.7515309,,,,15:13:40.143+0300,1.0,-2.0,0.0,,,,15:13:40.144+0300,274.39597,0.086389594,109.3614,,,,
15:13:40.161+0300,0.315,2.03,-0.035,,,,15:13:40.163+0300,0.014343291,9.777997,0.7489672,,,,15:13:40.163+0300,1.0,-1.0,-4.0,,,,15:13:40.164+0300,274.38092,0.0840468,109.33912,,,,
15:13:40.181+0300,-0.48999998,0.525,-0.175,,,,15:13:40.182+0300,0.0149354115,9.778132,0.7471973,,,,15:13:40.183+0300,0.0,-1.0,-3.0,,,,15:13:40.184+0300,274.37057,0.08751521,109.298134,,,,
15:13:40.205+0300,-0.38499996,-0.97999996,0.035,,,,15:13:40.208+0300,0.015049393,9.778127,0.7472592,,,,15:13:40.210+0300,-2.0,-1.0,1.0,,,,15:13:40.213+0300,274.37158,0.088816844,109.306725,,,,
15:13:40.222+0300,0.0,-0.7699999,-0.28,,,,15:13:40.228+0300,0.014555764,9.778149,0.7469915,,,,15:13:40.230+0300,-1.0,0.0,2.0,,,,15:13:40.231+0300,274.36932,0.08529051,109.318985,,,,
15:13:40.241+0300,0.45499995,0.315,-0.45499995,,,,15:13:40.244+0300,0.013003274,9.77825,0.7457149,,,,15:13:40.245+0300,2.0,-1.0,-1.0,,,,15:13:40.247+0300,274.3616,0.07619281,109.330086,,,,
15:13:40.261+0300,-0.42000002,0.87499994,-0.35,,,,15:13:40.264+0300,0.011490824,9.77827,0.74546415,,,,15:13:40.265+0300,2.0,-1.0,-2.0,,,,15:13:40.266+0300,274.36005,0.06733046,109.32345,,,,
15:13:40.281+0300,-0.84000003,0.315,-0.07,,,,15:13:40.282+0300,0.011155893,9.778223,0.7460633,,,,15:13:40.283+0300,1.0,-1.0,2.0,,,,15:13:40.284+0300,274.3722,0.06688972,109.31463,,,,
15:13:40.301+0300,-0.21000001,0.14,0.035,,,,15:13:40.303+0300,0.011384148,9.777993,0.74908584,,,,15:13:40.305+0300,0.0,-1.0,3.0,,,,15:13:40.306+0300,274.38123,0.06670728,109.311554,,,,
15:13:40.321+0300,-0.38499996,0.07,-0.07,,,,15:13:40.323+0300,0.012390403,9.7779,0.75029874,,,,15:13:40.324+0300,-1.0,-2.0,-1.0,,,,15:13:40.326+0300,274.38843,0.07260428,109.301704,,,,
15:13:40.342+0300,-0.87499994,-0.63,-0.105000004,,,,15:13:40.343+0300,0.012567221,9.777729,0.75251055,,,,15:13:40.344+0300,0.0,-1.0,-2.0,,,,15:13:40.344+0300,274.4014,0.07364167,109.303696,,,,
15:13:40.362+0300,-0.14,-1.6800001,-0.38499996,,,,15:13:40.364+0300,0.0129658645,9.777617,0.7539257,,,,15:13:40.365+0300,0.0,-1.0,-3.0,,,,15:13:40.366+0300,274.40988,0.07597852,109.32212,,,,
15:13:40.383+0300,-0.595,-0.97999996,-0.175,,,,15:13:40.387+0300,0.012673312,9.777634,0.75372285,,,,15:13:40.390+0300,0.0,-1.0,0.0,,,,15:13:40.392+0300,274.41064,0.07336686,109.36815,,,,
15:13:40.401+0300,-0.63,0.035,-0.45499995,,,,15:13:40.403+0300,0.012520167,9.777608,0.7540654,,,,15:13:40.405+0300,0.0,-1.0,-1.0,,,,15:13:40.406+0300,274.41064,0.07336686,109.36815,,,,
15:13:40.422+0300,-0.665,1.855,-0.21000001,,,,15:13:40.424+0300,0.010715163,9.7776785,0.7531845,,,,15:13:40.425+0300,2.0,0.0,-2.0,,,,15:13:40.425+0300,274.40613,0.061049346,109.33671,,,,
15:13:40.441+0300,-0.45499995,1.225,-0.35,,,,15:13:40.442+0300,0.009780221,9.777689,0.7530758,,,,15:13:40.443+0300,-1.0,-3.0,0.0,,,,15:13:40.443+0300,274.40448,0.057310596,109.32396,,,,
15:13:40.461+0300,-0.035,-0.35,-0.38499996,,,,15:13:40.462+0300,0.008872458,9.777709,0.75282156,,,,15:13:40.463+0300,1.0,0.0,1.0,,,,15:13:40.465+0300,274.4004,0.050567795,109.31953,,,,
15:13:40.482+0300,-0.105000004,-0.87499994,0.035,,,,15:13:40.482+0300,0.009299743,9.777779,0.75189334,,,,15:13:40.483+0300,1.0,0.0,-1.0,,,,15:13:40.485+0300,274.39764,0.05449458,109.32483,,,,
15:13:40.501+0300,-0.14,-0.525,0.42000002,,,,15:13:40.503+0300,0.010390169,9.777766,0.7520564,,,,15:13:40.505+0300,-1.0,-2.0,0.0,,,,15:13:40.506+0300,274.3988,0.06825875,109.33026,,,,
15:13:40.521+0300,0.175,0.175,0.0,,,,15:13:40.522+0300,0.01205781,9.777789,0.7517168,,,,15:13:40.525+0300,-2.0,0.0,-1.0,,,,15:13:40.525+0300,274.3932,0.07156522,109.32855,,,,
15:13:40.541+0300,-0.07,0.45499995,-0.175,,,,15:13:40.544+0300,0.011749767,9.777878,0.75056994,,,,15:13:40.545+0300,0.0,-1.0,-1.0,,,,15:13:40.546+0300,274.39008,0.068850495,109.32593,,,,
15:13:40.562+0300,-0.48999998,0.21000001,-0.42000002,,,,15:13:40.563+0300,0.011198855,9.77788,0.7505507,,,,15:13:40.565+0300,-1.0,-1.0,1.0,,,,15:13:40.566+0300,274.3923,0.061334204,109.33024,,,,
15:13:40.581+0300,0.07,0.105000004,-0.14,,,,15:13:40.582+0300,0.010396599,9.777847,0.7509937,,,,15:13:40.583+0300,0.0,0.0,1.0,,,,15:13:40.585+0300,274.39017,0.05921045,109.32984,,,,
15:13:40.601+0300,0.175,-0.07,-0.24499999,,,,15:13:40.603+0300,0.009428338,9.777898,0.7503385,,,,15:13:40.606+0300,2.0,-1.0,0.0,,,,15:13:40.608+0300,274.38516,0.053671636,109.33469,,,,
15:13:40.621+0300,-0.38499996,-0.105000004,-0.21000001,,,,15:13:40.623+0300,0.00911708,9.777908,0.75022566,,,,15:13:40.624+0300,3.0,-2.0,-1.0,,,,15:13:40.626+0300,274.38776,0.053423498,109.33481,,,,
15:13:40.641+0300,-0.63,0.35,0.105000004,,,,15:13:40.643+0300,0.009755086,9.777733,0.7524895,,,,15:13:40.644+0300,1.0,-1.0,3.0,,,,15:13:40.645+0300,274.4087,0.06101188,109.32097,,,,
15:13:40.662+0300,0.0,0.315,-0.035,,,,15:13:40.663+0300,0.010765724,9.777619,0.7539707,,,,15:13:40.666+0300,-3.0,-1.0,-3.0,,,,15:13:40.667+0300,274.41037,0.064375594,109.31681,,,,
15:13:40.682+0300,-0.315,-1.12,-0.28,,,,15:13:40.685+0300,0.011138941,9.777627,0.75383043,,,,15:13:40.688+0300,-1.0,-1.0,-5.0,,,,15:13:40.690+0300,274.40918,0.065272905,109.3157,,,,
15:13:40.702+0300,-0.7,-2.345,0.0,,,,15:13:40.706+0300,0.011683132,9.777687,0.75306004,,,,15:13:40.708+0300,2.0,0.0,-4.0,,,,15:13:40.710+0300,274.4046,0.068461366,109.33389,,,,
15:13:40.721+0300,-0.665,-0.24499999,-0.315,,,,15:13:40.724+0300,0.012425182,9.777623,0.7538649,,,,15:13:40.727+0300,-1.0,-2.0,5.0,,,,15:13:40.729+0300,274.4132,0.071169816,109.37384,,,,
15:13:40.742+0300,-0.24499999,3.15,0.0,,,,15:13:40.744+0300,0.012137305,9.777528,0.75510526,,,,15:13:40.747+0300,-1.0,0.0,0.0,,,,15:13:40.748+0300,274.4178,0.06881538,109.328514,,,,
15:13:40.762+0300,0.38499996,2.5549998,-0.035,,,,15:13:40.763+0300,0.01143734,9.777552,0.7548124,,,,15:13:40.766+0300,1.0,-2.0,-3.0,,,,15:13:40.767+0300,274.40796,0.0645809,109.26871,,,,
15:13:40.781+0300,-0.595,-1.155,0.035,,,,15:13:40.783+0300,0.011051848,9.777689,0.7530571,,,,15:13:40.786+0300,2.0,2.0,1.0,,,,15:13:40.793+0300,274.4071,0.06680722,109.27248,,,,
15:13:40.801+0300,-0.525,-3.0449998,-0.07,,,,15:13:40.806+0300,0.011629355,9.777609,0.7540695,,,,15:13:40.809+0300,4.0,-2.0,6.0,,,,15:13:40.811+0300,274.4159,0.072749116,109.32267,,,,
15:13:40.822+0300,-0.45499995,-0.525,0.175,,,,15:13:40.825+0300,0.012820611,9.777496,0.75551736,,,,15:13:40.827+0300,1.0,-1.0,3.0,,,,15:13:40.828+0300,274.427,0.08193517,109.33655,,,,
15:13:40.841+0300,-0.105000004,2.52,0.42000002,,,,15:13:40.843+0300,0.015090894,9.7773,0.75799984,,,,15:13:40.845+0300,-1.0,0.0,-3.0,,,,15:13:40.846+0300,274.43668,0.09413733,109.27815,,,,
15:13:40.861+0300,-0.28,0.945,0.35,,,,15:13:40.863+0300,0.016696868,9.777235,0.75881344,,,,15:13:40.864+0300,-4.0,1.0,-8.0,,,,15:13:40.865+0300,274.43887,0.09784558,109.25632,,,,
15:13:40.882+0300,-0.24499999,-2.7299998,-0.105000004,,,,15:13:40.883+0300,0.017593525,9.777233,0.7588076,,,,15:13:40.886+0300,-3.0,-3.0,-5.0,,,,15:13:40.890+0300,274.43475,0.10296762,109.27786,,,,
15:13:40.901+0300,-0.035,-3.395,-0.38499996,,,,15:13:40.903+0300,0.017743748,9.777403,0.7566174,,,,15:13:40.906+0300,5.0,-1.0,-2.0,,,,15:13:40.908+0300,274.42615,0.103978604,109.31697,,,,
15:13:40.921+0300,-0.07,-0.42000002,0.21000001,,,,15:13:40.923+0300,0.018083062,9.777578,0.7543524,,,,15:13:40.925+0300,4.0,-2.0,3.0,,,,15:13:40.927+0300,274.4084,0.11125469,109.37083,,,,
15:13:40.942+0300,2.205,2.45,0.595,,,,15:13:40.945+0300,0.019459903,9.777745,0.7521388,,,,15:13:40.947+0300,1.0,0.0,-14.0,,,,15:13:40.948+0300,274.36826,0.12267804,109.313545,,,,
15:13:40.962+0300,4.06,-0.97999996,0.525,,,,15:13:40.963+0300,0.022441257,9.778939,0.7363696,,,,15:13:40.964+0300,-3.0,-1.0,-16.0,,,,15:13:40.966+0300,274.2354,0.14041916,109.28795,,,,
15:13:40.981+0300,5.67,-6.58,0.665,,,,15:13:40.983+0300,0.025835576,9.78077,0.71153617,,,,15:13:40.984+0300,9.0,-2.0,-14.0,,,,15:13:40.985+0300,274.16348,0.15134454,109.30359,,,,
15:13:41.001+0300,8.365,-9.52,0.56,,,,15:13:41.002+0300,0.032139353,9.783973,0.6657722,,,,15:13:41.007+0300,-5.0,1.0,-25.0,,,,15:13:41.008+0300,273.7275,0.20969065,109.47982,,,,
15:13:41.021+0300,5.985,-1.645,0.56,,,,15:13:41.023+0300,0.03783698,9.78742,0.61269236,,,,15:13:41.024+0300,-3.0,2.0,5.0,,,,15:13:41.027+0300,273.58868,0.22149742,109.526886,,,,
15:13:41.042+0300,12.95,6.895,0.175,,,,15:13:41.044+0300,0.039293315,9.790131,0.56762046,,,,15:13:41.046+0300,-5.0,-3.0,8.0,,,,15:13:41.048+0300,273.13992,0.22252584,109.43377,,,,
15:13:41.062+0300,13.754999,6.755,-0.07,,,,15:13:41.063+0300,0.035973523,9.793891,0.4988117,,,,15:13:41.065+0300,-3.0,-3.0,-25.0,,,,15:13:41.066+0300,272.92303,0.21044974,109.36086,,,,
15:13:41.082+0300,12.844999,-1.61,-0.595,,,,15:13:41.084+0300,0.030533379,9.797435,0.42393678,,,,15:13:41.085+0300,0.0,0.0,0.0,,,,15:13:41.087+0300,272.48404,0.17855981,109.30282,,,,
15:13:41.102+0300,20.16,-7.455,-0.07,,,,15:13:41.105+0300,0.026684886,9.800251,0.35327452,,,,15:13:41.107+0300,1.0,-1.0,6.0,,,,15:13:41.109+0300,271.82477,0.1525251,109.47929,,,,
15:13:41.122+0300,18.55,-4.165,-0.21000001,,,,15:13:41.124+0300,0.02559943,9.802937,0.26868775,,,,15:13:41.126+0300,4.0,1.0,-10.0,,,,15:13:41.129+0300,271.3584,0.14818811,109.59841,,,,
15:13:41.143+0300,17.29,-0.07,-0.175,,,,15:13:41.144+0300,0.02535656,9.803894,0.23111996,,,,15:13:41.146+0300,2.0,-2.0,0.0,,,,15:13:41.150+0300,270.99817,0.14252299,109.566414,,,,
15:13:41.165+0300,23.905,7.6650004,-0.28,,,,15:13:41.166+0300,0.023863107,9.805742,0.131352,,,,15:13:41.173+0300,5.0,-1.0,-9.0,,,,15:13:41.175+0300,270.54358,0.13694948,109.42557,,,,
15:13:41.183+0300,21.140001,2.87,0.035,,,,15:13:41.184+0300,0.023536067,9.8065,0.049013916,,,,15:13:41.185+0300,3.0,0.0,-16.0,,,,15:13:41.190+0300,270.31653,0.13751233,109.35968,,,,
15:13:41.201+0300,22.295,-5.04,0.87499994,,,,15:13:41.202+0300,0.025227088,9.80659,-0.023437575,,,,15:13:41.204+0300,1.0,0.0,13.0,,,,15:13:41.206+0300,269.8002,0.14739093,109.218315,,,,
15:13:41.221+0300,26.6,-6.965,0.97999996,,,,15:13:41.223+0300,0.028603872,9.806049,-0.104890704,,,,15:13:41.224+0300,-2.0,0.0,9.0,,,,15:13:41.225+0300,269.36572,0.16712913,109.25692,,,,
15:13:41.241+0300,22.365,-0.735,0.35,,,,15:13:41.242+0300,0.031642508,9.8047,-0.1930068,,,,15:13:41.243+0300,-5.0,0.0,5.0,,,,15:13:41.243+0300,268.8574,0.18490885,109.32222,,,,
15:13:41.261+0300,23.554998,6.1949997,0.105000004,,,,15:13:41.262+0300,0.03240414,9.802977,-0.26645547,,,,15:13:41.263+0300,-5.0,-2.0,23.0,,,,15:13:41.264+0300,268.43176,0.18939285,109.28206,,,,
15:13:41.282+0300,25.585,6.2299995,-0.035,,,,15:13:41.282+0300,0.03264321,9.800451,-0.34710547,,,,15:13:41.283+0300,-2.0,1.0,-4.0,,,,15:13:41.283+0300,267.96268,0.1908393,109.142975,,,,
15:13:41.302+0300,21.384998,-0.56,-0.07,,,,15:13:41.302+0300,0.03247516,9.797242,-0.4282377,,,,15:13:41.303+0300,1.0,1.0,-5.0,,,,15:13:41.303+0300,267.49002,0.18991905,109.05103,,,,
15:13:41.321+0300,22.819998,-6.1599994,-0.28,,,,15:13:41.322+0300,0.03183365,9.793984,-0.49722764,,,,15:13:41.323+0300,3.0,0.0,21.0,,,,15:13:41.323+0300,267.0877,0.18622933,109.10819,,,,
15:13:41.341+0300,22.854998,-4.025,-0.28,,,,15:13:41.342+0300,0.030111354,9.789953,-0.5712211,,,,15:13:41.342+0300,5.0,-2.0,8.0,,,,15:13:41.343+0300,266.65607,0.17622638,109.25496,,,,
15:13:41.361+0300,17.57,3.325,-0.28,,,,15:13:41.363+0300,0.029248014,9.7858715,-0.63739485,,,,15:13:41.364+0300,4.0,-3.0,13.0,,,,15:13:41.365+0300,266.26953,0.17124513,109.31554,,,,
15:13:41.381+0300,19.529999,6.58,0.315,,,,15:13:41.382+0300,0.031057402,9.782225,-0.6910241,,,,15:13:41.383+0300,3.0,0.0,18.0,,,,15:13:41.384+0300,265.95526,0.18190669,109.19533,,,,
15:13:41.401+0300,17.394999,2.52,0.45499995,,,,15:13:41.403+0300,0.03548077,9.778034,-0.74778587,,,,15:13:41.406+0300,0.0,-1.0,-7.0,,,,15:13:41.408+0300,265.6219,0.20790371,109.01482,,,,
15:13:41.421+0300,12.635,-4.2349997,0.315,,,,15:13:41.423+0300,0.03834668,9.774502,-0.7924989,,,,15:13:41.425+0300,-1.0,0.0,12.0,,,,15:13:41.426+0300,265.35934,0.22477789,108.960205,,,,
15:13:41.442+0300,14.49,-5.7749996,0.38499996,,,,15:13:41.445+0300,0.03907295,9.77179,-0.8252175,,,,15:13:41.448+0300,-6.0,1.0,26.0,,,,15:13:41.451+0300,265.05994,0.22872746,109.11232,,,,
15:13:41.461+0300,10.324999,-0.63,-0.21000001,,,,15:13:41.462+0300,0.03903788,9.768792,-0.8599872,,,,15:13:41.464+0300,-4.0,-1.0,6.0,,,,15:13:41.465+0300,264.96387,0.22896321,109.15019,,,,
15:13:41.482+0300,6.02,5.4599996,-0.175,,,,15:13:41.484+0300,0.03837854,9.767244,-0.87740713,,,,15:13:41.485+0300,-3.0,-1.0,17.0,,,,15:13:41.486+0300,264.8619,0.22513177,109.13518,,,,
15:13:41.501+0300,7.035,4.55,-0.665,,,,15:13:41.503+0300,0.03835574,9.766633,-0.8842186,,,,15:13:41.512+0300,2.0,-2.0,-2.0,,,,15:13:41.513+0300,264.79126,0.2202943,108.984886,,,,
15:13:41.522+0300,2.24,-0.805,-0.56,,,,15:13:41.526+0300,0.036569737,9.76577,-0.893755,,,,15:13:41.528+0300,1.0,-3.0,-3.0,,,,15:13:41.529+0300,264.76657,0.21455367,108.97201,,,,
15:13:41.542+0300,-0.84000003,-5.39,-0.45499995,,,,15:13:41.544+0300,0.033320088,9.766442,-0.8864958,,,,15:13:41.545+0300,7.0,0.0,22.0,,,,15:13:41.546+0300,264.8098,0.19547476,109.06234,,,,
15:13:41.562+0300,-0.48999998,-3.0449998,-0.105000004,,,,15:13:41.563+0300,0.031075815,9.767718,-0.87240535,,,,15:13:41.564+0300,3.0,-1.0,16.0,,,,15:13:41.565+0300,264.89294,0.18228483,109.19934,,,,
15:13:41.581+0300,-2.7299998,0.28,-0.07,,,,15:13:41.584+0300,0.03522066,9.773117,-0.80952656,,,,15:13:41.585+0300,3.0,-4.0,4.0,,,,15:13:41.586+0300,265.26044,0.2064834,109.16655,,,,
