time,Gyroscope[x] Deg/sec,Gyroscope[y] Deg/sec,Gyroscope[z] Deg/sec,,,,time,Gravity[x] m/sec^2,Gravity[y] m/sec^2,Gravity[z] m/sec^2,,,,time,Acceleration[x] cm/sec^2,Acceleration[y] cm/sec^2,Acceleration[z] cm/sec^2,,,,time,Orientation[x] Deg,Orientation[y] Deg,Orientation[z] Deg,,,,
15:14:51.606+0300,1.2950001,-34.09,1.6800001,,,,15:14:51.607+0300,-0.014973113,9.631405,1.845594,,,,15:14:51.609+0300,3.0,-2.0,-7.0,,,,15:14:51.610+0300,280.848,-0.08907273,110.74868,,,,
15:14:51.625+0300,1.2950001,-34.09,1.6800001,,,,15:14:51.627+0300,-0.014973113,9.631405,1.845594,,,,15:14:51.628+0300,3.0,-2.0,-7.0,,,,15:14:51.629+0300,280.848,-0.08907273,110.74868,,,,
15:14:51.645+0300,1.2950001,-34.09,1.6800001,,,,15:14:51.647+0300,-0.014973113,9.631405,1.845594,,,,15:14:51.649+0300,2.0,-1.0,11.0,,,,15:14:51.650+0300,280.8422,-0.1764482,110.558426,,,,
15:14:51.666+0300,2.4149997,-0.035,-0.24499999,,,,15:14:51.667+0300,-0.029661564,9.631592,1.8444355,,,,15:14:51.669+0300,2.0,-1.0,10.0,,,,15:14:51.669+0300,280.8422,-0.1764482,110.558426,,,,
15:14:51.684+0300,0.525,-15.785,0.175,,,,15:14:51.687+0300,-0.023041269,9.632959,1.8373809,,,,15:14:51.688+0300,0.0,-1.0,-2.0,,,,15:14:51.689+0300,280.79962,-0.13704666,110.68782,,,,
15:14:51.704+0300,0.525,-15.785,0.175,,,,15:14:51.706+0300,-0.023041269,9.632959,1.8373809,,,,15:14:51.709+0300,1.0,-1.0,0.0,,,,15:14:51.710+0300,280.79962,-0.13704666,110.68782,,,,
15:14:51.725+0300,-0.63,2.275,-0.315,,,,15:14:51.726+0300,-0.00517448,9.632432,1.840276,,,,15:14:51.728+0300,1.0,-2.0,-2.0,,,,15:14:51.730+0300,280.81607,-0.03077892,111.06881,,,,
15:14:51.744+0300,-0.175,9.59,-0.28,,,,15:14:51.745+0300,-0.008314824,9.632067,1.8421751,,,,15:14:51.746+0300,1.0,-1.0,-7.0,,,,15:14:51.746+0300,280.82745,-0.04946023,110.99607,,,,
15:14:51.764+0300,-0.315,8.365,-0.07,,,,15:14:51.767+0300,-0.013804946,9.63239,1.8404526,,,,15:14:51.770+0300,-2.0,-1.0,-2.0,,,,15:14:51.772+0300,280.8084,-0.09412139,110.82523,,,,
15:14:51.784+0300,-0.175,-3.8149998,-0.07,,,,15:14:51.786+0300,-0.016136311,9.632844,1.8380612,,,,15:14:51.789+0300,2.0,-1.0,4.0,,,,15:14:51.790+0300,280.7977,-0.08865797,110.8547,,,,
15:14:51.804+0300,-0.24499999,-5.4599996,-0.315,,,,15:14:51.806+0300,-0.013178631,9.633123,1.8366122,,,,15:14:51.807+0300,1.0,-2.0,5.0,,,,15:14:51.809+0300,280.801,-0.0695598,110.94247,,,,
15:14:51.824+0300,-0.595,0.665,-0.42000002,,,,15:14:51.825+0300,-0.010743513,9.63211,1.8419355,,,,15:14:51.826+0300,1.0,-2.0,12.0,,,,15:14:51.827+0300,280.8261,-0.06390684,110.95851,,,,
15:14:51.844+0300,1.8199998,2.835,-0.21000001,,,,15:14:51.845+0300,-0.011722587,9.630721,1.8491858,,,,15:14:51.846+0300,1.0,-1.0,1.0,,,,15:14:51.850+0300,280.8665,-0.074142635,110.90643,,,,
15:14:51.866+0300,-0.42000002,-1.7850001,-0.42000002,,,,15:14:51.871+0300,-0.013476737,9.630745,1.8490473,,,,15:14:51.872+0300,0.0,-2.0,-10.0,,,,15:14:51.873+0300,280.86844,-0.08017652,110.917755,,,,
15:14:51.886+0300,-0.595,-6.3,-0.665,,,,15:14:51.889+0300,-0.010943419,9.630266,1.8515602,,,,15:14:51.890+0300,2.0,-2.0,0.0,,,,15:14:51.891+0300,280.8833,-0.065108426,111.00702,,,,
15:14:51.904+0300,0.28,-4.62,0.105000004,,,,15:14:51.906+0300,-0.008794424,9.6303625,1.8510698,,,,15:14:51.907+0300,-3.0,1.0,0.0,,,,15:14:51.908+0300,280.87564,-0.04154113,111.08763,,,,
15:14:51.924+0300,-0.735,2.1,-0.525,,,,15:14:51.926+0300,-0.006443185,9.63048,1.8504555,,,,15:14:51.927+0300,5.0,-1.0,2.0,,,,15:14:51.927+0300,280.87665,-0.038333215,111.0953,,,,
15:14:51.944+0300,0.45499995,5.7049994,-0.21000001,,,,15:14:51.945+0300,-0.00814765,9.6303425,1.8511633,,,,15:14:51.946+0300,0.0,-3.0,0.0,,,,15:14:51.948+0300,280.88092,-0.048474487,111.04294,,,,
15:14:51.965+0300,-1.26,3.78,-0.14,,,,15:14:51.968+0300,-0.012171207,9.63016,1.8520986,,,,15:14:51.971+0300,-3.0,0.0,3.0,,,,15:14:51.972+0300,280.88657,-0.072414,110.9288,,,,
15:14:51.984+0300,-0.48999998,-0.665,-0.315,,,,15:14:51.987+0300,-0.012555238,9.629702,1.8544753,,,,15:14:51.990+0300,-1.0,0.0,6.0,,,,15:14:51.991+0300,280.91144,-0.0760128,110.92826,,,,
15:14:52.004+0300,1.3649999,-3.1149998,0.105000004,,,,15:14:52.006+0300,-0.011769349,9.629294,1.8566023,,,,15:14:52.008+0300,1.0,-2.0,-1.0,,,,15:14:52.009+0300,280.91333,-0.0700294,110.94843,,,,
15:14:52.024+0300,0.63,-3.15,-0.175,,,,15:14:52.025+0300,-0.0093555655,9.629913,1.8533956,,,,15:14:52.026+0300,2.0,0.0,-7.0,,,,15:14:52.028+0300,280.8942,-0.055663455,111.003784,,,,
15:14:52.045+0300,4.3749995,-8.785,-0.035,,,,15:14:52.046+0300,-0.0056207627,9.631379,1.8457845,,,,15:14:52.047+0300,-1.0,-3.0,-17.0,,,,15:14:52.050+0300,280.8488,-0.03343716,111.07071,,,,
15:14:52.066+0300,-2.4149997,-5.25,-0.21000001,,,,15:14:52.072+0300,0.0018067572,9.634801,1.8278373,,,,15:14:52.073+0300,0.0,4.0,11.0,,,,15:14:52.074+0300,280.74203,0.010744338,111.25316,,,,
15:14:52.085+0300,3.6399996,4.76,-0.24499999,,,,15:14:52.088+0300,0.0014221418,9.63434,1.8302714,,,,15:14:52.089+0300,4.0,-6.0,13.0,,,,15:14:52.090+0300,280.75647,0.00845753,111.256134,,,,
15:14:52.104+0300,4.515,8.539999,-0.105000004,,,,15:14:52.106+0300,-0.0034340662,9.638332,1.8091233,,,,15:14:52.107+0300,-4.0,-2.0,-24.0,,,,15:14:52.108+0300,280.6308,-0.020414058,111.168655,,,,
15:14:52.125+0300,-3.0799997,5.1099997,-0.35,,,,15:14:52.126+0300,-0.00927081,9.640671,1.7966006,,,,15:14:52.127+0300,-2.0,0.0,4.0,,,,15:14:52.128+0300,280.5565,-0.055097632,111.05236,,,,
15:14:52.145+0300,6.125,-0.665,-0.45499995,,,,15:14:52.146+0300,-0.0129378075,9.639428,1.8032331,,,,15:14:52.150+0300,1.0,-2.0,25.0,,,,15:14:52.151+0300,280.59604,-0.07690097,111.00458,,,,
15:14:52.164+0300,12.88,-5.2850003,0.105000004,,,,15:14:52.167+0300,-0.010787352,9.644277,1.7771354,,,,15:14:52.168+0300,10.0,-2.0,-31.0,,,,15:14:52.170+0300,280.44086,-0.06408666,111.04223,,,,
15:14:52.184+0300,-1.085,-3.1149998,0.45499995,,,,15:14:52.186+0300,-0.0031827218,9.651595,1.7369776,,,,15:14:52.188+0300,2.0,-1.0,-27.000002,,,,15:14:52.190+0300,280.2022,-0.018893925,111.092606,,,,
