time,Gyroscope[x] Deg/sec,Gyroscope[y] Deg/sec,Gyroscope[z] Deg/sec,,,,time,Gravity[x] m/sec^2,Gravity[y] m/sec^2,Gravity[z] m/sec^2,,,,time,Acceleration[x] cm/sec^2,Acceleration[y] cm/sec^2,Acceleration[z] cm/sec^2,,,,time,Orientation[x] Deg,Orientation[y] Deg,Orientation[z] Deg,,,,
15:16:26.454+0300,-0.9099999,4.865,-0.7,,,,15:16:26.456+0300,0.004378069,9.430634,2.6895196,,,,15:16:26.458+0300,1.0,-1.0,2.0,,,,15:16:26.459+0300,285.91763,0.026598943,115.02208,,,,
15:16:26.474+0300,-0.9099999,4.865,-0.7,,,,15:16:26.475+0300,0.004378069,9.430634,2.6895196,,,,15:16:26.476+0300,1.0,-1.0,2.0,,,,15:16:26.477+0300,285.91763,0.026598943,115.02208,,,,
15:16:26.493+0300,-0.9099999,4.865,-0.7,,,,15:16:26.495+0300,0.004378069,9.430634,2.6895196,,,,15:16:26.496+0300,1.0,-1.0,2.0,,,,15:16:26.498+0300,285.91763,0.026598943,115.02208,,,,
15:16:26.513+0300,-0.56,-6.335,-0.28,,,,15:16:26.514+0300,0.010417934,9.423736,2.7135756,,,,15:16:26.516+0300,-1.0,-1.0,-5.0,,,,15:16:26.517+0300,286.0639,0.06334042,114.97596,,,,
15:16:26.534+0300,-0.56,-6.335,-0.28,,,,15:16:26.536+0300,0.010417934,9.423736,2.7135756,,,,15:16:26.537+0300,-1.0,-1.0,-4.0,,,,15:16:26.538+0300,286.0639,0.06334042,114.97596,,,,
15:16:26.554+0300,-0.21000001,3.01,-0.735,,,,15:16:26.556+0300,0.013352526,9.426551,2.7037656,,,,15:16:26.557+0300,-1.0,0.0,2.0,,,,15:16:26.559+0300,286.00436,0.0811583,115.113594,,,,
15:16:26.573+0300,0.07,5.5649996,-0.315,,,,15:16:26.575+0300,0.006109715,9.426715,2.703225,,,,15:16:26.576+0300,1.0,-1.0,1.0,,,,15:16:26.577+0300,286.00092,0.03713498,115.08372,,,,
15:16:26.593+0300,-0.14,-2.31,-0.28,,,,15:16:26.594+0300,-6.0059625E-4,9.427368,2.700947,,,,15:16:26.598+0300,3.0,-2.0,-2.0,,,,15:16:26.599+0300,285.98706,-0.0036501843,115.02676,,,,
15:16:26.613+0300,-0.14,-5.6,0.0,,,,15:16:26.615+0300,0.0038610594,9.427236,2.7014093,,,,15:16:26.616+0300,2.0,-1.0,3.0,,,,15:16:26.618+0300,285.98987,0.023466306,115.06521,,,,
15:16:26.634+0300,-0.24499999,-2.345,0.315,,,,15:16:26.635+0300,0.010844927,9.426843,2.702757,,,,15:16:26.637+0300,1.0,-2.0,3.0,,,,15:16:26.637+0300,285.99817,0.06591478,115.11895,,,,
