time,Gyroscope[x] Deg/sec,Gyroscope[y] Deg/sec,Gyroscope[z] Deg/sec,,,,time,Gravity[x] m/sec^2,Gravity[y] m/sec^2,Gravity[z] m/sec^2,,,,time,Acceleration[x] cm/sec^2,Acceleration[y] cm/sec^2,Acceleration[z] cm/sec^2,,,,time,Orientation[x] Deg,Orientation[y] Deg,Orientation[z] Deg,,,,
15:19:40.372+0300,-1.12,4.0950003,0.07,,,,15:19:40.373+0300,-0.010586669,7.5364156,6.2747684,,,,15:19:40.375+0300,1.0,-1.0,-3.0,,,,15:19:40.376+0300,309.78058,-0.09666825,0.82137954,,,,
15:19:40.391+0300,-1.12,4.0950003,0.07,,,,15:19:40.393+0300,-0.010586669,7.5364156,6.2747684,,,,15:19:40.394+0300,1.0,-1.0,-3.0,,,,15:19:40.395+0300,309.78058,-0.09666825,0.82137954,,,,
15:19:40.411+0300,-1.12,4.0950003,0.07,,,,15:19:40.412+0300,-0.010586669,7.5364156,6.2747684,,,,15:19:40.414+0300,1.0,-1.0,-3.0,,,,15:19:40.416+0300,309.78058,-0.09666825,0.82137954,,,,
15:19:40.432+0300,-1.12,4.0950003,0.07,,,,15:19:40.433+0300,0.19631736,7.5355167,6.2727876,,,,15:19:40.434+0300,0.0,-1.0,-1.0,,,,15:19:40.435+0300,309.7888,1.7925822,358.7843,,,,
15:19:40.452+0300,-1.12,4.0950003,0.07,,,,15:19:40.453+0300,0.19631736,7.5355167,6.2727876,,,,15:19:40.455+0300,0.0,-1.0,-1.0,,,,15:19:40.456+0300,309.7888,1.7925822,358.7843,,,,
15:19:40.471+0300,-1.12,4.0950003,0.07,,,,15:19:40.473+0300,0.05164716,7.645883,6.1407,,,,15:19:40.474+0300,0.0,-3.0,-3.0,,,,15:19:40.475+0300,308.77026,0.48188227,359.48566,,,,
15:19:40.491+0300,-1.12,4.0950003,0.07,,,,15:19:40.493+0300,0.07856538,7.654546,6.129613,,,,15:19:40.495+0300,0.0,-3.0,-2.0,,,,15:19:40.497+0300,308.68936,0.7343397,359.35248,,,,
15:19:40.512+0300,-1.12,4.0950003,0.07,,,,15:19:40.515+0300,-0.014500779,7.517609,6.29728,,,,15:19:40.517+0300,0.0,0.0,0.0,,,,15:19:40.517+0300,309.952,-0.13193506,359.80286,,,,
15:19:40.535+0300,-1.12,4.0950003,0.07,,,,15:19:40.538+0300,-0.075354196,7.345093,6.4972553,,,,15:19:40.541+0300,0.0,3.0,3.0,,,,15:19:40.542+0300,311.34875,-0.58059394,0.04860844,,,,
15:19:40.551+0300,-1.12,4.0950003,0.07,,,,15:19:40.552+0300,-0.009396528,7.383909,6.453541,,,,15:19:40.553+0300,0.0,2.0,2.0,,,,15:19:40.554+0300,311.1535,-0.08342413,359.7837,,,,
15:19:40.571+0300,-1.12,4.0950003,0.07,,,,15:19:40.573+0300,0.03890136,7.5739064,6.229351,,,,15:19:40.574+0300,0.0,-3.0,-3.0,,,,15:19:40.577+0300,309.437,0.35779884,359.55374,,,,
15:19:40.591+0300,-1.12,4.0950003,0.07,,,,15:19:40.594+0300,-0.021987721,7.622288,6.1701407,,,,15:19:40.596+0300,0.0,-3.0,-2.0,,,,15:19:40.597+0300,308.98987,-0.20417657,359.85297,,,,
15:19:40.611+0300,0.0,-8.014999,-0.21000001,,,,15:19:40.612+0300,-0.10381696,7.5712585,6.2318277,,,,15:19:40.613+0300,0.0,0.0,0.0,,,,15:19:40.614+0300,309.46136,-0.95441073,0.2533247,,,,
15:19:40.631+0300,-0.87499994,-1.05,-0.525,,,,15:19:40.632+0300,-0.08550497,7.455533,6.3700953,,,,15:19:40.633+0300,0.0,2.0,2.0,,,,15:19:40.634+0300,310.51352,-0.7690277,0.20975469,,,,
15:19:40.651+0300,0.97999996,6.335,-0.595,,,,15:19:40.652+0300,0.0830397,7.535351,6.275507,,,,15:19:40.653+0300,0.0,1.0,1.0,,,,15:19:40.653+0300,309.79028,0.75811356,359.39914,,,,
15:19:40.672+0300,0.315,5.355,-0.35,,,,15:19:40.673+0300,0.13743758,7.664606,6.115989,,,,15:19:40.674+0300,0.0,-5.0,-4.0,,,,15:19:40.676+0300,308.59525,1.2873254,359.03442,,,,
15:19:40.691+0300,-1.33,-2.66,0.105000004,,,,15:19:40.692+0300,0.14675263,7.6262145,6.1635795,,,,15:19:40.694+0300,0.0,-2.0,-2.0,,,,15:19:40.694+0300,308.9534,1.3639344,358.93317,,,,
15:19:40.711+0300,-1.575,-5.5649996,0.105000004,,,,15:19:40.713+0300,0.059376765,7.44798,6.3792224,,,,15:19:40.715+0300,0.0,3.0,3.0,,,,15:19:40.716+0300,310.5814,0.5332844,359.41443,,,,
15:19:40.732+0300,0.97999996,-2.695,0.24499999,,,,15:19:40.733+0300,-0.016576547,7.482401,6.339069,,,,15:19:40.734+0300,0.0,2.0,2.0,,,,15:19:40.735+0300,310.27127,-0.14982706,359.87192,,,,
15:19:40.751+0300,-0.665,4.445,0.0,,,,15:19:40.752+0300,0.0023801378,7.5624723,6.243348,,,,15:19:40.754+0300,0.0,-3.0,-2.0,,,,15:19:40.755+0300,309.54205,0.021842742,359.78867,,,,
15:19:40.771+0300,-0.97999996,6.37,-0.07,,,,15:19:40.775+0300,0.0072818585,7.6162114,6.177675,,,,15:19:40.778+0300,0.0,-3.0,-3.0,,,,15:19:40.780+0300,309.04626,0.067536674,359.68192,,,,
15:19:40.791+0300,0.0,-0.035,0.0,,,,15:19:40.794+0300,0.051774446,7.718748,6.0488544,,,,15:19:40.797+0300,0.0,-5.0,-4.0,,,,15:19:40.798+0300,308.0853,0.38431272,359.38876,,,,
15:19:40.811+0300,-0.105000004,-5.88,-0.07,,,,15:19:40.813+0300,0.019465236,7.6308246,6.159589,,,,15:19:40.814+0300,0.0,0.0,0.0,,,,15:19:40.815+0300,308.91055,0.18106277,359.5753,,,,
15:19:40.831+0300,1.085,-4.305,0.0,,,,15:19:40.833+0300,-0.08468125,7.5300217,6.281878,,,,15:19:40.834+0300,0.0,0.0,0.0,,,,15:19:40.835+0300,309.83893,-0.7723143,0.17289944,,,,
