time,Gyroscope[x] Deg/sec,Gyroscope[y] Deg/sec,Gyroscope[z] Deg/sec,,,,time,Gravity[x] m/sec^2,Gravity[y] m/sec^2,Gravity[z] m/sec^2,,,,time,Acceleration[x] cm/sec^2,Acceleration[y] cm/sec^2,Acceleration[z] cm/sec^2,,,,time,Orientation[x] Deg,Orientation[y] Deg,Orientation[z] Deg,,,,
15:09:46.365+0300,1.2950001,10.674999,-0.42000002,,,,15:09:46.367+0300,-0.010409166,9.564892,2.164057,,,,15:09:46.369+0300,2.0,-1.0,-3.0,,,,15:09:46.370+0300,282.74866,-0.062353138,103.197586,,,,
15:09:46.385+0300,1.2950001,10.674999,-0.42000002,,,,15:09:46.387+0300,-0.010409166,9.564892,2.164057,,,,15:09:46.388+0300,2.0,-1.0,-3.0,,,,15:09:46.389+0300,282.74866,-0.062353138,103.197586,,,,
15:09:46.405+0300,1.2950001,10.674999,-0.42000002,,,,15:09:46.407+0300,-0.010409166,9.564892,2.164057,,,,15:09:46.408+0300,2.0,-1.0,-3.0,,,,15:09:46.409+0300,282.74866,-0.062353138,103.197586,,,,
15:09:46.425+0300,1.2950001,10.674999,-0.42000002,,,,15:09:46.427+0300,-0.010409166,9.564892,2.164057,,,,15:09:46.428+0300,-5.0,-1.0,2.0,,,,15:09:46.434+0300,282.69073,0.08694644,103.3873,,,,
15:09:46.444+0300,1.6800001,2.1349998,-0.87499994,,,,15:09:46.446+0300,0.014518063,9.567075,2.1543617,,,,15:09:46.448+0300,-5.0,-1.0,2.0,,,,15:09:46.449+0300,282.69073,0.08694644,103.3873,,,,
15:09:46.464+0300,1.6800001,2.1349998,-0.87499994,,,,15:09:46.466+0300,0.014518063,9.567075,2.1543617,,,,15:09:46.471+0300,-5.0,-1.0,2.0,,,,15:09:46.472+0300,282.69073,0.08694644,103.3873,,,,
15:09:46.484+0300,1.7149999,4.62,-1.47,,,,15:09:46.486+0300,-0.031495795,9.575124,2.11812,,,,15:09:46.488+0300,4.0,0.0,0.0,,,,15:09:46.490+0300,282.47488,-0.18846437,103.25849,,,,
15:09:46.505+0300,1.7149999,4.62,-1.47,,,,15:09:46.506+0300,-0.031495795,9.575124,2.11812,,,,15:09:46.508+0300,3.0,0.0,0.0,,,,15:09:46.509+0300,282.47488,-0.18846437,103.25849,,,,
15:09:46.524+0300,1.7149999,4.62,-1.47,,,,15:09:46.526+0300,-0.031495795,9.575124,2.11812,,,,15:09:46.527+0300,3.0,0.0,0.0,,,,15:09:46.529+0300,282.47488,-0.18846437,103.25849,,,,
15:09:46.547+0300,-0.56,-0.035,0.105000004,,,,15:09:46.549+0300,-0.036926586,9.577149,2.1088457,,,,15:09:46.552+0300,5.0,-3.0,2.0,,,,15:09:46.553+0300,282.41995,-0.22091408,103.16392,,,,
15:09:46.564+0300,-0.9099999,-7.0699997,0.87499994,,,,15:09:46.565+0300,-0.025252808,9.576083,2.1138582,,,,15:09:46.566+0300,5.0,-2.0,2.0,,,,15:09:46.567+0300,282.44888,-0.15109266,103.120384,,,,
15:09:46.585+0300,-0.525,-6.65,1.225,,,,15:09:46.586+0300,7.154548E-4,9.5743885,2.1216743,,,,15:09:46.587+0300,2.0,1.0,-3.0,,,,15:09:46.589+0300,282.49475,0.004281479,103.15764,,,,
15:09:46.604+0300,-0.665,-5.7749996,0.9099999,,,,15:09:46.605+0300,0.013914252,9.573433,2.1259272,,,,15:09:46.606+0300,-5.0,-3.0,0.0,,,,15:09:46.606+0300,282.5205,0.08327497,103.18395,,,,
15:09:46.624+0300,0.07,-1.33,0.84000003,,,,15:09:46.626+0300,0.020477263,9.573006,2.127805,,,,15:09:46.629+0300,1.0,1.0,-2.0,,,,15:09:46.631+0300,282.532,0.1225591,103.222,,,,
15:09:46.644+0300,0.24499999,0.9099999,0.63,,,,15:09:46.646+0300,0.022557285,9.573072,2.127476,,,,15:09:46.648+0300,-2.0,-2.0,-2.0,,,,15:09:46.649+0300,282.52545,0.13995323,103.203094,,,,
15:09:46.664+0300,-0.035,2.94,0.525,,,,15:09:46.666+0300,0.023131285,9.573221,2.1268058,,,,15:09:46.667+0300,-3.0,0.0,-1.0,,,,15:09:46.668+0300,282.5262,0.1384406,103.15597,,,,
15:09:46.684+0300,0.21000001,1.9950001,0.14,,,,15:09:46.685+0300,0.021784838,9.573675,2.1247783,,,,15:09:46.686+0300,-1.0,-1.0,-2.0,,,,15:09:46.687+0300,282.51398,0.13037597,103.109055,,,,
15:09:46.705+0300,0.175,-0.63,-0.105000004,,,,15:09:46.706+0300,0.019269057,9.574273,2.122103,,,,15:09:46.707+0300,-2.0,-2.0,-3.0,,,,15:09:46.707+0300,282.49783,0.11531258,103.09933,,,,
15:09:46.724+0300,0.35,-3.22,-0.63,,,,15:09:46.725+0300,0.016710311,9.575072,2.1185143,,,,15:09:46.729+0300,-3.0,0.0,-3.0,,,,15:09:46.731+0300,282.47626,0.09999187,103.14844,,,,
15:09:46.746+0300,1.155,-3.5700002,-0.63,,,,15:09:46.749+0300,0.014863515,9.575414,2.116986,,,,15:09:46.751+0300,-3.0,0.0,0.0,,,,15:09:46.752+0300,282.4499,0.077074215,103.24362,,,,
15:09:46.764+0300,1.435,1.225,-0.97999996,,,,15:09:46.768+0300,0.0063967155,9.576985,2.109909,,,,15:09:46.769+0300,-2.0,-1.0,0.0,,,,15:09:46.770+0300,282.4244,0.03826932,103.31989,,,,
15:09:46.784+0300,2.205,1.7850001,-1.645,,,,15:09:46.787+0300,-0.0022863573,9.578412,2.1034305,,,,15:09:46.789+0300,1.0,-2.0,-2.0,,,,15:09:46.790+0300,282.38562,-0.013676446,103.3572,,,,
15:09:46.804+0300,1.7499999,0.9099999,-1.47,,,,15:09:46.806+0300,-0.01074059,9.5802145,2.0951757,,,,15:09:46.807+0300,2.0,-1.0,0.0,,,,15:09:46.808+0300,282.33643,-0.06423554,103.39052,,,,
15:09:46.824+0300,1.26,2.345,-1.435,,,,15:09:46.830+0300,-0.016060617,9.5814295,2.0895824,,,,15:09:46.832+0300,3.0,0.0,5.0,,,,15:09:46.835+0300,282.30316,-0.096040435,103.40836,,,,
15:09:46.844+0300,1.645,3.71,-1.5399998,,,,15:09:46.846+0300,-0.020821547,9.582207,2.0859692,,,,15:09:46.849+0300,5.0,-2.0,2.0,,,,15:09:46.851+0300,282.2818,-0.12450001,103.38292,,,,
15:09:46.865+0300,0.87499994,0.175,-0.45499995,,,,15:09:46.867+0300,-0.0229948,9.583257,2.0811234,,,,15:09:46.869+0300,4.0,1.0,-4.0,,,,15:09:46.870+0300,282.25296,-0.1374796,103.33661,,,,
15:09:46.884+0300,0.7699999,-5.145,0.56,,,,15:09:46.886+0300,-0.015983459,9.584013,2.0776978,,,,15:09:46.887+0300,7.0,-1.0,-5.0,,,,15:09:46.889+0300,282.23212,-0.09555329,103.31067,,,,
